#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	1.07948E-05	6.40000E+01	9.30283E+04	2.48689E+01	-4.60436E+04	1.24644E+01	6.91323E+01	-2.78961E-09
0.00000E+00	9.75782E-06	6.50000E+01	9.36379E+04	1.43151E+01	-4.66019E+04	2.24659E+01	6.83041E+01	-3.02867E-09
0.00000E+00	1.07699E-05	6.60000E+01	9.27746E+04	1.59587E+01	-4.56980E+04	2.71972E+01	6.96551E+01	-2.27336E-09
0.00000E+00	8.65455E-06	6.70000E+01	9.31299E+04	1.96549E+01	-4.58258E+04	2.32493E+01	6.94609E+01	-2.28658E-09
0.00000E+00	1.06371E-05	6.80000E+01	9.78295E+04	1.64872E+01	-4.97749E+04	3.19519E+01	6.39499E+01	-2.77783E-09
0.00000E+00	9.21036E-06	6.90000E+01	9.35915E+04	2.93250E+01	-4.62550E+04	2.44295E+01	6.88163E+01	-3.45863E-09
0.00000E+00	9.45922E-06	7.00000E+01	9.09452E+04	1.37974E+01	-4.45283E+04	2.92628E+01	7.14849E+01	-3.03286E-09
0.00000E+00	1.01643E-05	7.10000E+01	9.07978E+04	1.67118E+01	-4.46053E+04	3.22155E+01	7.13614E+01	-2.87867E-09
0.00000E+00	9.27672E-06	7.20000E+01	9.09742E+04	2.22591E+01	-4.46980E+04	2.14448E+01	7.12135E+01	-2.90311E-09
0.00000E+00	9.65831E-06	7.30000E+01	9.02797E+04	1.77966E+01	-4.43411E+04	2.86627E+01	7.17867E+01	-2.76969E-09
