#
# This is an automatically generated geo file
# Script: ../bin/create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


76	-0.85	-4.10	12	SIZE:0.45,X_STRETCH:5.12,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
77	-0.86	-3.90	12	SIZE:0.45,X_STRETCH:5.22,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
78	-0.88	-3.69	12	SIZE:0.45,X_STRETCH:5.31,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
79	-0.89	-3.49	12	SIZE:0.45,X_STRETCH:5.41,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
80	-0.91	-3.28	12	SIZE:0.45,X_STRETCH:5.50,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
81	-0.92	-3.08	12	SIZE:0.45,X_STRETCH:5.59,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
82	-0.94	-2.87	12	SIZE:0.45,X_STRETCH:5.69,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
83	-0.95	-2.67	12	SIZE:0.45,X_STRETCH:5.78,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
84	-0.97	-2.46	12	SIZE:0.45,X_STRETCH:5.88,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
85	-0.98	-2.26	12	SIZE:0.45,X_STRETCH:5.97,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
86	-1.00	-2.05	12	SIZE:0.45,X_STRETCH:6.06,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
87	-1.01	-1.84	12	SIZE:0.45,X_STRETCH:6.16,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
88	-1.03	-1.64	12	SIZE:0.45,X_STRETCH:6.25,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
89	-1.04	-1.43	12	SIZE:0.45,X_STRETCH:6.34,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
90	-1.06	-1.23	12	SIZE:0.45,X_STRETCH:6.44,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
91	-1.07	-1.02	12	SIZE:0.45,X_STRETCH:6.53,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
