#
# This is an automatically generated geo file
# Script: ../create_regular_geofile.py
#
# draws all available cell shapes
#
# padnumber	xposition	yposition	size	type	rotation


115	-0.34999999999999964	0.3999999999999989	0.4	0	0
116	0.40000000000000036	0.3999999999999989	0.4	0	0
117	1.1500000000000004	0.3999999999999989	0.4	0	0
118	1.9000000000000004	0.3999999999999989	0.4	0	0
119	2.6500000000000004	0.3999999999999989	0.4	0	0
120	3.4000000000000004	0.3999999999999989	0.4	0	0
121	4.15	0.3999999999999989	0.4	0	0
122	4.9	0.3999999999999989	0.4	0	0
123	5.65	0.3999999999999989	0.4	0	0
124	6.4	0.3999999999999989	0.4	22	30
125	-5.975	-0.3750000000000011	0.4	0	0
126	-5.225	-0.3750000000000011	0.4	0	0
127	-4.475	-0.3750000000000011	0.4	0	0
128	-3.725	-0.3750000000000011	0.4	0	0
129	-2.975	-0.3750000000000011	0.4	0	0
130	-2.2249999999999996	-0.3750000000000011	0.4	0	0
131	-1.4749999999999996	-0.3750000000000011	0.4	0	0
132	-0.7249999999999996	-0.3750000000000011	0.4	0	0
133	0.025000000000000355	-0.3750000000000011	0.4	0	0
134	0.7750000000000004	-0.3750000000000011	0.4	0	0
135	1.5250000000000004	-0.3750000000000011	0.4	0	0
136	2.2750000000000004	-0.3750000000000011	0.4	0	0
137	3.0250000000000004	-0.3750000000000011	0.4	0	0
138	3.7750000000000004	-0.3750000000000011	0.4	0	0
139	4.525	-0.3750000000000011	0.4	0	0
140	5.275	-0.3750000000000011	0.4	0	0
141	6.025	-0.3750000000000011	0.4	0	0
142	-6.35	-1.1500000000000012	0.4	22	210
143	-5.6	-1.1500000000000012	0.4	0	0
144	-4.85	-1.1500000000000012	0.4	0	0
145	-4.1	-1.1500000000000012	0.4	0	0
146	-3.35	-1.1500000000000012	0.4	0	0
147	-2.5999999999999996	-1.1500000000000012	0.4	0	0
148	-1.8499999999999996	-1.1500000000000012	0.4	0	0
149	-1.0999999999999996	-1.1500000000000012	0.4	0	0
150	-0.34999999999999964	-1.1500000000000012	0.4	0	0
151	0.40000000000000036	-1.1500000000000012	0.4	0	0
152	1.1500000000000004	-1.1500000000000012	0.4	0	0
153	1.9000000000000004	-1.1500000000000012	0.4	0	0
154	2.6500000000000004	-1.1500000000000012	0.4	0	0
155	3.4000000000000004	-1.1500000000000012	0.4	0	0
156	4.15	-1.1500000000000012	0.4	0	0
157	4.9	-1.1500000000000012	0.4	0	0
158	5.65	-1.1500000000000012	0.4	0	0
159	6.4	-1.1500000000000012	0.4	22	330
160	-5.975	-1.9250000000000012	0.4	22	210
161	-5.225	-1.9250000000000012	0.4	0	0
162	-4.475	-1.9250000000000012	0.4	0	0
163	-3.725	-1.9250000000000012	0.4	0	0
164	-2.975	-1.9250000000000012	0.4	0	0
165	-2.2249999999999996	-1.9250000000000012	0.4	0	0
166	-1.4749999999999996	-1.9250000000000012	0.4	0	0
167	-0.7249999999999996	-1.9250000000000012	0.4	0	0
168	0.025000000000000355	-1.9250000000000012	0.4	0	0
169	0.7750000000000004	-1.9250000000000012	0.4	0	0
170	1.5250000000000004	-1.9250000000000012	0.4	0	0
171	2.2750000000000004	-1.9250000000000012	0.4	0	0
172	3.0250000000000004	-1.9250000000000012	0.4	0	0
173	3.7750000000000004	-1.9250000000000012	0.4	0	0
174	4.525	-1.9250000000000012	0.4	0	0
175	5.275	-1.9250000000000012	0.4	0	0
176	6.025	-1.9250000000000012	0.4	22	330
177	-5.6	-2.700000000000001	0.4	22	210
178	-4.85	-2.700000000000001	0.4	0	0
179	-4.1	-2.700000000000001	0.4	0	0
180	-3.35	-2.700000000000001	0.4	0	0
181	-2.6	-2.700000000000001	0.4	0	0
182	-1.8499999999999996	-2.700000000000001	0.4	0	0
183	-1.0999999999999996	-2.700000000000001	0.4	0	0
184	-0.34999999999999964	-2.700000000000001	0.4	0	0
185	0.40000000000000036	-2.700000000000001	0.4	0	0
186	1.1500000000000004	-2.700000000000001	0.4	0	0
187	1.9000000000000004	-2.700000000000001	0.4	0	0
188	2.6500000000000004	-2.700000000000001	0.4	0	0
189	3.4000000000000004	-2.700000000000001	0.4	0	0
190	4.15	-2.700000000000001	0.4	0	0
191	4.9	-2.700000000000001	0.4	0	0
192	5.65	-2.700000000000001	0.4	22	330
193	-5.225	-3.475000000000001	0.4	22	210
194	-4.475	-3.475000000000001	0.4	0	0
195	-3.725	-3.475000000000001	0.4	0	0
196	-2.975	-3.475000000000001	0.4	0	0
197	-2.225	-3.475000000000001	0.4	0	0
198	-1.4749999999999996	-3.475000000000001	0.4	0	0
199	-0.7249999999999996	-3.475000000000001	0.4	0	0
200	0.025000000000000355	-3.475000000000001	0.4	0	0
201	0.7750000000000004	-3.475000000000001	0.4	0	0
202	1.5250000000000004	-3.475000000000001	0.4	0	0
203	2.2750000000000004	-3.475000000000001	0.4	0	0
204	3.0250000000000004	-3.475000000000001	0.4	0	0
