#
# This is an automatically generated geo file
# Script: ../create_regular_geofile.py
#
# draws all available cell shapes
#
# padnumber	xposition	yposition	size	type	rotation


173	-2.2714285714285714	-3.0	0.4	12	45
174	-2.871428571428572	-3.4000000000000004	0.4	12	45
175	-2.2714285714285714	-3.4000000000000004	0.4	12	45
176	-2.871428571428572	-4.2	0.4	12	45
177	-2.2714285714285714	-4.2	0.4	12	45
178	-2.871428571428572	-4.6000000000000005	0.4	12	45
179	-2.2714285714285714	-4.6000000000000005	0.4	12	45
180	-2.871428571428572	-5.0	0.4	12	45
181	-2.2714285714285714	-5.0	0.4	12	45
182	-2.871428571428572	-5.4	0.4	12	45
183	-2.2714285714285714	-5.4	0.4	12	45
184	-2.871428571428572	-6.2	0.4	12	45
185	-2.2714285714285714	-6.2	0.4	12	45
186	-2.871428571428572	-6.6000000000000005	0.4	12	45
187	-2.2714285714285714	-6.6000000000000005	0.4	12	45
188	-2.871428571428572	-7.0	0.4	12	45
189	-2.2714285714285714	-7.0	0.4	12	45
190	-2.871428571428572	-7.4	0.4	12	45
191	-2.2714285714285714	-7.4	0.4	12	45
192	-1.1571428571428568	7.8	0.4	12	45
193	-0.5571428571428567	7.8	0.4	12	45
194	-1.1571428571428568	7.3999999999999995	0.4	12	45
195	-0.5571428571428567	7.3999999999999995	0.4	12	45
196	-1.1571428571428568	7.0	0.4	12	45
197	-0.5571428571428567	7.0	0.4	12	45
198	-1.1571428571428568	6.6	0.4	12	45
199	-0.5571428571428567	6.6	0.4	12	45
200	-1.1571428571428568	5.8	0.4	12	45
201	-0.5571428571428567	5.8	0.4	12	45
202	-1.1571428571428568	5.3999999999999995	0.4	12	45
203	-0.5571428571428567	5.3999999999999995	0.4	12	45
204	-1.1571428571428568	5.0	0.4	12	45
205	-0.5571428571428567	5.0	0.4	12	45
206	-1.1571428571428568	4.6	0.4	12	45
207	-0.5571428571428567	4.6	0.4	12	45
208	-1.1571428571428568	3.8	0.4	12	45
209	-0.5571428571428567	3.8	0.4	12	45
210	-1.1571428571428568	3.4	0.4	12	45
211	-0.5571428571428567	3.4	0.4	12	45
212	-1.1571428571428568	3.0	0.4	12	45
213	-0.5571428571428567	3.0	0.4	12	45
214	-1.1571428571428568	2.5999999999999996	0.4	12	45
215	-0.5571428571428567	2.5999999999999996	0.4	12	45
216	-1.1571428571428568	1.8	0.4	12	45
217	-0.5571428571428567	1.8	0.4	12	45
218	-1.1571428571428568	1.4	0.4	12	45
219	-0.5571428571428567	1.4	0.4	12	45
220	-1.1571428571428568	1.0	0.4	12	45
221	-0.5571428571428567	1.0	0.4	12	45
222	-1.1571428571428568	0.5999999999999999	0.4	12	45
223	-0.5571428571428567	0.5999999999999999	0.4	12	45
224	-1.1571428571428568	-0.19999999999999996	0.4	12	45
225	-0.5571428571428567	-0.19999999999999996	0.4	12	45
226	-1.1571428571428568	-0.6	0.4	12	45
227	-0.5571428571428567	-0.6	0.4	12	45
228	-1.1571428571428568	-1.0	0.4	12	45
229	-0.5571428571428567	-1.0	0.4	12	45
230	-1.1571428571428568	-1.4000000000000001	0.4	12	45
231	-0.5571428571428567	-1.4000000000000001	0.4	12	45
232	-1.1571428571428568	-2.2	0.4	12	45
233	-0.5571428571428567	-2.2	0.4	12	45
